Cryptocurrency,Market Capitalization,% of Top 100
Jito,1.21,100.0
Safe,353.86,99.66
Hank,110.8,23.78
PEKA,87.92,15.88
Lola,65.5,10.58
Icrypex token,33.13,5.08
Niza Global,27.99,4.11
Tellor,24.45,3.47
Waves,20.76,2.86
Jito,15.77,2.13
Safe,13.37,1.77
Hank,12.92,1.68
Bitcoin,11.1,1.43
Ethereum,9.73,1.23
Tether,8.59,1.08
BNB,7.96,0.99
Solana,7.54,0.93
USDC,6.77,0.83
XRP,6.11,0.74
Toncoin,5.53,0.67
Dogecoin,5.45,0.65
Cardano,5.35,0.64
Shiba Inu,4.31,0.51
Avalanche,4.28,0.5
TRON,3.98,0.47
Polkadot,3.95,0.46
Bitcoin Cash,3.82,0.44
Chainlink,3.75,0.43
NEAR Protocol,3.64,0.42
Polygon,3.38,0.39
Litecoin,3.33,0.38
Internet Computer,3.31,0.38
UNUS SED LEO,3.3,0.37
Dai,3.13,0.35
Uniswap,3.06,0.34
Render,3.04,0.34
Hedera,3.0,0.34
Ethereum Classic,2.97,0.33
First Digital USD,2.94,0.33
Pepe,2.8,0.31
Aptos,2.71,0.3
Cosmos,2.68,0.29
Cronos,2.68,0.29
Mantle,2.55,0.28
Immutable,2.52,0.27
Filecoin,2.51,0.27
Stellar,2.46,0.27
dogwifhat,2.38,0.26
OKB,2.24,0.24
Stacks,2.09,0.23
Kaspa,2.02,0.22
Arweave,2.02,0.22
The Graph,1.89,0.2
Arbitrum,1.69,0.18
Optimism,1.65,0.18
VeChain,1.6,0.17
Maker,1.56,0.17
Bittensor,1.53,0.16
Monero,1.49,0.16
Sui,1.47,0.16
Injective,1.46,0.15
THORChain,1.42,0.15
Theta Network,1.3,0.14
Fantom,1.29,0.14
Fetch.ai,1.29,0.14
Celestia,1.28,0.13
FLOKI,1.26,0.13
Lido DAO,1.25,0.13
Core,1.23,0.13
Bitget Token,1.2,0.13
Bonk,1.18,0.12
Algorand,1.15,0.12
Jupiter,1.15,0.12
Sei,1.14,0.12
Akash Network,1.14,0.12
Ethena,1.13,0.12
Gala,1.12,0.12
Flow,1.1,0.11
Worldcoin,1.09,0.11
Aave,1.06,0.11
Bitcoin SV,1.05,0.11
SingularityNET,1.02,0.1
Beam,974.62,50.07
Quant,962.62,33.09
dYdX (Native),909.14,23.81
Flare,900.55,19.08
BitTorrent (New),891.88,15.9
Chiliz,890.54,13.7
Ondo,887.58,12.01
Neo,886.0,10.71
Wormhole,872.07,9.53
MultiversX,854.5,8.54
Pendle,853.67,7.86
Axie Infinity,845.63,7.23
KuCoin Token,795.66,6.37
The Sandbox,789.02,5.94
eCash,783.34,5.57
JasmyCoin,774.92,5.22
Starknet,755.92,4.85
Tezos,747.71,4.57
